title,author,avg_rating,rating_count,popularity_score,text
To Kill a Mockingbird,Harper Lee,9.1875,16.0,26.030147598516486,To Kill a Mockingbird Harper Lee
To Kill a Mockingbird,Harper Lee,9.038461538461538,26.0,29.789294750423743,To Kill a Mockingbird Harper Lee
Seabiscuit: An American Legend,LAURA HILLENBRAND,8.483333333333333,120.0,40.68428979514569,Seabiscuit: An American Legend LAURA HILLENBRAND
Seabiscuit: An American Legend,LAURA HILLENBRAND,8.384615384615385,13.0,22.127480686774092,Seabiscuit: An American Legend LAURA HILLENBRAND
Pigs in Heaven,Barbara Kingsolver,8.5,24.0,27.360444511379704,Pigs in Heaven Barbara Kingsolver
Pigs in Heaven,Barbara Kingsolver,7.716981132075472,53.0,30.782914623486572,Pigs in Heaven Barbara Kingsolver
Pigs in Heaven,Barbara Kingsolver,8.08,25.0,26.325420027213575,Pigs in Heaven Barbara Kingsolver
Pride and Prejudice,Jane Austen,8.428571428571429,42.0,31.70154383227431,Pride and Prejudice Jane Austen
Pride and Prejudice,Jane Austen,8.4,5.0,15.050779541515663,Pride and Prejudice Jane Austen
Pride and Prejudice,Jane Austen,9.11111111111111,9.0,20.979108625056863,Pride and Prejudice Jane Austen
Downtown,Anne Rivers Siddons,6.875,8.0,15.10591896918651,Downtown Anne Rivers Siddons
Icebound,Dean R. Koontz,7.25,12.0,18.59588284159614,Icebound Dean R. Koontz
Icebound,Dean R. Koontz,7.583333333333333,36.0,27.38279417088537,Icebound Dean R. Koontz
I'll Be Seeing You,Mary Higgins Clark,7.555555555555555,36.0,27.28249089553414,I'll Be Seeing You Mary Higgins Clark
From the Corner of His Eye,Dean Koontz,8.0,72.0,34.32367552918713,From the Corner of His Eye Dean Koontz
Isle of Dogs,Patricia Cornwell,5.338028169014085,71.0,22.828964212775848,Isle of Dogs Patricia Cornwell
Purity in Death,J.D. Robb,7.454545454545454,33.0,26.28741481986593,Purity in Death J.D. Robb
This Year It Will Be Different: And Other Stories,Maeve Binchy,7.15,20.0,21.768335429722477,This Year It Will Be Different: And Other Stories Maeve Binchy
Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,7.75,48.0,30.161607310357354,Left Behind: A Novel of the Earth's Last Days (Left Behind #1) Tim Lahaye
The Street Lawyer,JOHN GRISHAM,7.62406015037594,133.0,37.34142524173101,The Street Lawyer JOHN GRISHAM
A Soldier of the Great War,Mark Helprin,8.285714285714286,7.0,17.229658488204354,A Soldier of the Great War Mark Helprin
LONESOME DOVE,Larry McMurtry,8.458333333333334,24.0,27.22632468534353,LONESOME DOVE Larry McMurtry
Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,7.5,6.0,14.59432611791485,Shabanu: Daughter of the Wind (Border Trilogy) SUZANNE FISHER STAPLES
Breathing Lessons,Anne Tyler,7.395348837209302,43.0,27.985402408976906,Breathing Lessons Anne Tyler
Breathing Lessons,Anne Tyler,7.818181818181818,11.0,19.42745198925164,Breathing Lessons Anne Tyler
Breathing Lessons,Anne Tyler,6.666666666666667,6.0,12.972734327035422,Breathing Lessons Anne Tyler
Breathing Lessons,Anne Tyler,6.875,8.0,15.10591896918651,Breathing Lessons Anne Tyler
The Joy Luck Club,Amy Tan,8.195876288659793,194.0,43.216852052146166,The Joy Luck Club Amy Tan
The Joy Luck Club,Amy Tan,7.375,8.0,16.20453125785462,The Joy Luck Club Amy Tan
The Joy Luck Club,Amy Tan,7.833333333333333,6.0,15.24296283426662,The Joy Luck Club Amy Tan
Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,8.666666666666666,9.0,19.955737472615063,Tess of the D'Urbervilles (Wordsworth Classics) Thomas Hardy
The Accidental Virgin,Valerie Frankel,6.333333333333333,9.0,14.583038922295623,The Accidental Virgin Valerie Frankel
The Tao of Pooh,Benjamin Hoff,8.03960396039604,101.0,37.18294974640423,The Tao of Pooh Benjamin Hoff
The Tao of Pooh,Benjamin Hoff,7.75,12.0,19.878357520326908,The Tao of Pooh Benjamin Hoff
Seabiscuit,LAURA HILLENBRAND,8.241935483870968,62.0,34.14744911590441,Seabiscuit LAURA HILLENBRAND
The Prince,Niccolo Machiavelli,7.4,10.0,17.744425018707943,The Prince Niccolo Machiavelli
Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,7.738095238095238,42.0,29.104524704771613,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)) H. Jackson Brown
Starship Troopers,Robert A. Heinlein,7.78125,32.0,27.20719946266105,Starship Troopers Robert A. Heinlein
"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,8.0,13.0,21.112458636922067,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1) PHILIP PULLMAN"
Anil's Ghost,MICHAEL ONDAATJE,7.2727272727272725,11.0,18.07204836209455,Anil's Ghost MICHAEL ONDAATJE
Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,7.142857142857143,7.0,14.853153869141686,Modern Manners: An Etiquette Book for Rude People P.J. O'Rourke
Turning Thirty,Mike Gayle,6.833333333333333,6.0,13.297052685211307,Turning Thirty Mike Gayle
The Catcher in the Rye,J.D. Salinger,7.68724279835391,243.0,42.25806685122511,The Catcher in the Rye J.D. Salinger
The Catcher in the Rye,J.D. Salinger,7.8,5.0,13.975723859978828,The Catcher in the Rye J.D. Salinger
The Catcher in the Rye,J.D. Salinger,8.11111111111111,9.0,18.676523532062816,The Catcher in the Rye J.D. Salinger
El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,8.076923076923077,13.0,21.31546304689247,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)) J. R. R. Tolkien
El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,8.571428571428571,7.0,17.82378464297002,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)) J. R. R. Tolkien
"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,9.285714285714286,7.0,19.309100029884192,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.) J. R. R. Tolkien"
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,7.794392523364486,107.0,36.494368630108404,Midnight in the Garden of Good and Evil: A Savannah Story John Berendt
Pretend You Don't See Her,Mary Higgins Clark,8.127272727272727,55.0,32.71513101379294,Pretend You Don't See Her Mary Higgins Clark
Pretend You Don't See Her,Mary Higgins Clark,7.8,25.0,25.41315299656756,Pretend You Don't See Her Mary Higgins Clark
Fast Women,Jennifer Crusie,7.555555555555555,9.0,17.39730959151057,Fast Women Jennifer Crusie
Fast Women,Jennifer Crusie,7.75,52.0,30.769762330028946,Fast Women Jennifer Crusie
Female Intelligence,Jane Heller,6.571428571428571,14.0,17.79575846438595,Female Intelligence Jane Heller
Female Intelligence,Jane Heller,6.384615384615385,13.0,16.849366027543574,Female Intelligence Jane Heller
Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,7.0,6.0,13.621371043387192,Pasquale's Nose: Idle Days in an Italian Town Michael Rips
"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,8.166666666666666,42.0,30.716467611497425,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not! Robert T. Kiyosaki"
The Pillars of the Earth,Ken Follett,8.39080459770115,87.0,37.56845832838036,The Pillars of the Earth Ken Follett
Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,8.029411764705882,34.0,28.54735355254735,Corelli's Mandolin : A Novel LOUIS DE BERNIERES
The Five People You Meet in Heaven,Mitch Albom,8.016528925619834,242.0,44.03528595074654,The Five People You Meet in Heaven Mitch Albom
Relics (Star Trek: The Next Generation),Michael Jan Friedman,6.666666666666667,6.0,12.972734327035422,Relics (Star Trek: The Next Generation) Michael Jan Friedman
The Alibi,Sandra Brown,7.9,20.0,24.051727258015042,The Alibi Sandra Brown
The Alibi,Sandra Brown,7.6,15.0,21.071674289022337,The Alibi Sandra Brown
The Beach House,James Patterson,7.836538461538462,104.0,36.47093928248444,The Beach House James Patterson
The Beach House,James Patterson,7.448717948717949,78.0,32.546784644658196,The Beach House James Patterson
A Kiss Remembered,Sandra Brown,6.8,10.0,16.30568785502892,A Kiss Remembered Sandra Brown
The Short Forever,Stuart Woods,7.25,16.0,20.54079674440757,The Short Forever Stuart Woods
The Short Forever,Stuart Woods,7.642857142857143,14.0,20.697240822709748,The Short Forever Stuart Woods
Dead Aim,IRIS JOHANSEN,7.125,24.0,22.934490252185928,Dead Aim IRIS JOHANSEN
Dead Aim,IRIS JOHANSEN,7.25,20.0,22.072787673494815,Dead Aim IRIS JOHANSEN
Angels & Demons,Dan Brown,8.100371747211897,269.0,45.34929906564112,Angels & Demons Dan Brown
Angels & Demons,Dan Brown,7.606060606060606,33.0,26.8217118690502,Angels & Demons Dan Brown
All He Ever Wanted: A Novel,Anita Shreve,7.9375,16.0,22.488630918446216,All He Ever Wanted: A Novel Anita Shreve
"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,8.5,32.0,29.72031427246508,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder Ann Rule"
"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,8.5,8.0,18.676408907357867,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder Ann Rule"
The Mosquito Coast,Paul Theroux,7.8,15.0,21.626192033470293,The Mosquito Coast Paul Theroux
The Mosquito Coast,Paul Theroux,8.0,8.0,17.577796618689757,The Mosquito Coast Paul Theroux
The Girl Who Loved Tom Gordon,Stephen King,7.063157894736842,95.0,32.23871196289387,The Girl Who Loved Tom Gordon Stephen King
Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,8.571428571428571,7.0,17.82378464297002,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions Ben Mezrich
The Sum of All Fears,Tom Clancy,7.611111111111111,36.0,27.483097446236595,The Sum of All Fears Tom Clancy
The Sum of All Fears,Tom Clancy,7.25,16.0,20.54079674440757,The Sum of All Fears Tom Clancy
Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,7.6,5.0,13.617371966133216,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends DANA REEVE
One Hundred Years of Solitude,Gabriel Garcia Marquez,8.24390243902439,41.0,30.81298368243362,One Hundred Years of Solitude Gabriel Garcia Marquez
One Hundred Years of Solitude,Gabriel Garcia Marquez,9.0,21.0,27.819382080224845,One Hundred Years of Solitude Gabriel Garcia Marquez
Little Altars Everywhere: A Novel,Rebecca Wells,7.596774193548387,186.0,39.73955094416952,Little Altars Everywhere: A Novel Rebecca Wells
Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,7.545454545454546,22.0,23.65872908382904,Coyote Waits (Joe Leaphorn/Jim Chee Novels) Tony Hillerman
Before I Say Good-Bye,Mary Higgins Clark,7.586206896551724,58.0,30.93304267790546,Before I Say Good-Bye Mary Higgins Clark
Slow Waltz in Cedar Bend,Robert James Waller,6.944444444444445,18.0,20.447492910878058,Slow Waltz in Cedar Bend Robert James Waller
Slow Waltz in Cedar Bend,Robert James Waller,6.42,50.0,25.24232056209017,Slow Waltz in Cedar Bend Robert James Waller
Atonement : A Novel,IAN MCEWAN,7.630769230769231,65.0,31.970288493001647,Atonement : A Novel IAN MCEWAN
Hush,Anne Frasier,7.647058823529412,17.0,22.102842854500082,Hush Anne Frasier
"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,7.472222222222222,36.0,26.981581069480455,"Whisper of Evil (Hooper, Kay. Evil Trilogy.) Kay Hooper"
Rebecca,Daphne Du Maurier,7.975609756097561,41.0,29.81019427265028,Rebecca Daphne Du Maurier
Scarlet Letter,Nathaniel Hawthorne,6.9,10.0,16.545477382308757,Scarlet Letter Nathaniel Hawthorne
Diary of a Mad Mom-To-Be,Laura Wolf,8.23076923076923,13.0,21.72147186683328,Diary of a Mad Mom-To-Be Laura Wolf
Locked in Time (Laurel Leaf Books),LOIS DUNCAN,7.2,5.0,12.900668178441997,Locked in Time (Laurel Leaf Books) LOIS DUNCAN
The Brimstone Wedding,Barbara Vine,7.6,5.0,13.617371966133216,The Brimstone Wedding Barbara Vine
The Brimstone Wedding,Barbara Vine,7.2,5.0,12.900668178441997,The Brimstone Wedding Barbara Vine
Through Wolf's Eyes (Wolf),Jane Lindskold,7.857142857142857,7.0,16.338469256055852,Through Wolf's Eyes (Wolf) Jane Lindskold
Puerto Vallarta Squeeze,Robert James Waller,6.631578947368421,19.0,19.86643507725278,Puerto Vallarta Squeeze Robert James Waller
Puerto Vallarta Squeeze,Robert James Waller,7.4,5.0,13.259020072287607,Puerto Vallarta Squeeze Robert James Waller
Tree Grows In Brooklyn,Betty Smith,9.285714285714286,7.0,19.309100029884192,Tree Grows In Brooklyn Betty Smith
Wish You Well,David Baldacci,7.515151515151516,33.0,26.50113363953964,Wish You Well David Baldacci
Wish You Well,David Baldacci,8.019607843137255,51.0,31.68742511568243,Wish You Well David Baldacci
The Hitchhiker's Guide to the Galaxy,Douglas Adams,8.277777777777779,18.0,24.373411549766647,The Hitchhiker's Guide to the Galaxy Douglas Adams
The Hitchhiker's Guide to the Galaxy,Douglas Adams,8.402777777777779,72.0,36.05177724853856,The Hitchhiker's Guide to the Galaxy Douglas Adams
The Hitchhiker's Guide to the Galaxy,Douglas Adams,8.75,12.0,22.443306877788448,The Hitchhiker's Guide to the Galaxy Douglas Adams
The Hitchhiker's Guide to the Galaxy,Douglas Adams,8.833333333333334,6.0,17.188872983321936,The Hitchhiker's Guide to the Galaxy Douglas Adams
The Hitchhiker's Guide to the Galaxy,Douglas Adams,8.166666666666666,12.0,20.947086419269215,The Hitchhiker's Guide to the Galaxy Douglas Adams
The Hitchhiker's Guide to the Galaxy,Douglas Adams,8.833333333333334,6.0,17.188872983321936,The Hitchhiker's Guide to the Galaxy Douglas Adams
The Hitchhiker's Guide to the Galaxy,Douglas Adams,9.777777777777779,9.0,22.514165353719562,The Hitchhiker's Guide to the Galaxy Douglas Adams
Crow Lake (Today Show Book Club #7),Mary Lawson,8.296296296296296,27.0,27.644955936268357,Crow Lake (Today Show Book Club #7) Mary Lawson
My Antonia,Willa Cather,8.5,14.0,23.018426709368786,My Antonia Willa Cather
Pen Pals,Olivia Goldsmith,7.869565217391305,23.0,25.0099018823034,Pen Pals Olivia Goldsmith
Pen Pals,Olivia Goldsmith,8.0,9.0,18.420680743952367,Pen Pals Olivia Goldsmith
Bridget Jones's Diary,Helen Fielding,7.458333333333333,72.0,31.999676665231746,Bridget Jones's Diary Helen Fielding
Bridget Jones's Diary,Helen Fielding,7.732824427480916,131.0,37.75784998152667,Bridget Jones's Diary Helen Fielding
Bridget Jones's Diary,Helen Fielding,7.878048780487805,41.0,29.44554357818361,Bridget Jones's Diary Helen Fielding
Bridget Jones's Diary,Helen Fielding,7.5256410256410255,78.0,32.88289601792489,Bridget Jones's Diary Helen Fielding
Bridget Jones's Diary,Helen Fielding,7.622641509433962,53.0,30.406595373810696,Bridget Jones's Diary Helen Fielding
Pride and Prejudice (Dover Thrift Editions),Jane Austen,8.764705882352942,17.0,25.333258348619328,Pride and Prejudice (Dover Thrift Editions) Jane Austen
The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,7.875,8.0,17.30314354652273,The Cat Who Came to Breakfast (Cat Who... (Hardcover)) Lilian Jackson Braun
Night Mare (Xanth Novels (Paperback)),Piers Anthony,7.857142857142857,14.0,21.277537294374508,Night Mare (Xanth Novels (Paperback)) Piers Anthony
The Martian Chronicles,RAY BRADBURY,8.6,30.0,29.532289958572257,The Martian Chronicles RAY BRADBURY
Fahrenheit 451,Ray Bradbury,7.875,8.0,17.30314354652273,Fahrenheit 451 Ray Bradbury
Fahrenheit 451,Ray Bradbury,8.666666666666666,6.0,16.864554625146045,Fahrenheit 451 Ray Bradbury
Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,8.083333333333334,12.0,20.73334063948076,Veronika Deschliesst Zu Sterben / Vernika Decides to Die Paolo Coelho
Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,7.8,5.0,13.975723859978828,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole. Sue Townsend
QuerschÃ?ÃÂ¼sse - Downsize This!,Michael Moore,6.555555555555555,9.0,15.094724498516523,QuerschÃ?ÃÂ¼sse - Downsize This! Michael Moore
Die Korrekturen.,Jonathan Franzen,4.8,5.0,8.600445452294663,Die Korrekturen. Jonathan Franzen
Das Buch der lÃ?ÃÂ¤cherlichen Liebe.,Milan Kundera,5.6,5.0,10.033853027677107,Das Buch der lÃ?ÃÂ¤cherlichen Liebe. Milan Kundera
The God of Small Things,Arundhati Roy,7.680412371134021,97.0,35.214440944428624,The God of Small Things Arundhati Roy
The God of Small Things,Arundhati Roy,7.592592592592593,27.0,25.30007128095988,The God of Small Things Arundhati Roy
The Big Bad Wolf: A Novel,James Patterson,7.849056603773585,53.0,31.309761573032798,The Big Bad Wolf: A Novel James Patterson
Four Blind Mice,James Patterson,8.508474576271187,59.0,34.83662661416093,Four Blind Mice James Patterson
Four Blind Mice,James Patterson,7.704545454545454,44.0,29.3286041825486,Four Blind Mice James Patterson
Private Screening,Richard North Patterson,6.916666666666667,12.0,17.740899722442297,Private Screening Richard North Patterson
Congo,Michael Crichton,7.255102040816326,98.0,33.338063402507075,Congo Michael Crichton
Protect and Defend,Richard North Patterson,7.5,22.0,23.516206619468623,Protect and Defend Richard North Patterson
Protect and Defend,Richard North Patterson,8.285714285714286,7.0,17.229658488204354,Protect and Defend Richard North Patterson
Memoirs of a Geisha,Arthur Golden,8.5,46.0,32.7262546145355,Memoirs of a Geisha Arthur Golden
Plainsong (Vintage Contemporaries),KENT HARUF,7.686567164179104,67.0,32.433529375607385,Plainsong (Vintage Contemporaries) KENT HARUF
Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,7.714285714285714,49.0,30.178463184731413,Body of Evidence (Kay Scarpetta Mysteries (Paperback)) Patricia D. Cornwell
All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,8.031746031746032,63.0,33.40309270126974,All That Remains (Kay Scarpetta Mysteries (Paperback)) Patricia D. Cornwell
Petals on the River,Kathleen E. Woodiwiss,7.428571428571429,7.0,15.447280023907352,Petals on the River Kathleen E. Woodiwiss
The Elusive Flame,Kathleen E. Woodiwiss,7.375,8.0,16.20453125785462,The Elusive Flame Kathleen E. Woodiwiss
Legacy of Silence,Belva Plain,8.333333333333334,6.0,16.215917908794278,Legacy of Silence Belva Plain
Legacy of Silence,Belva Plain,7.6,15.0,21.071674289022337,Legacy of Silence Belva Plain
The Brethren,JOHN GRISHAM,7.245901639344262,61.0,29.9048098063923,The Brethren JOHN GRISHAM
The King of Torts,John Grisham,7.415730337078652,89.0,33.36937508334803,The King of Torts John Grisham
The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,7.897435897435898,39.0,29.132689022233137,The Curious Incident of the Dog in the Night-Time : A Novel MARK HADDON
Bleachers,John Grisham,6.648648648648648,74.0,28.70546151161979,Bleachers John Grisham
Sisterhood of the Traveling Pants,ANN BRASHARES,8.245901639344263,61.0,34.0319441914374,Sisterhood of the Traveling Pants ANN BRASHARES
Only Love (Magical Love),Erich Segal,6.166666666666667,6.0,11.999779252507766,Only Love (Magical Love) Erich Segal
Roses Are Red (Alex Cross Novels),James Patterson,8.117647058823529,85.0,36.15881922841082,Roses Are Red (Alex Cross Novels) James Patterson
The Rescue,Nicholas Sparks,7.415730337078652,89.0,33.36937508334803,The Rescue Nicholas Sparks
The Rescue,Nicholas Sparks,8.1,40.0,30.07993374030489,The Rescue Nicholas Sparks
Manhattan Hunt Club,JOHN SAUL,7.627450980392157,51.0,30.137917775062263,Manhattan Hunt Club JOHN SAUL
Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,7.818181818181818,33.0,27.569727737908174,Patty Jane's House of Curl (Ballantine Reader's Circle) LORNA LANDVIK
Pet Sematary,Stephen King,7.72,25.0,25.15250527352584,Pet Sematary Stephen King
Pet Sematary,Stephen King,8.2,15.0,22.735227522366202,Pet Sematary Stephen King
Pet Sematary,Stephen King,7.4,5.0,13.259020072287607,Pet Sematary Stephen King
Pet Sematary,Stephen King,8.23076923076923,26.0,27.127272666343323,Pet Sematary Stephen King
Pet Sematary,Stephen King,7.375,8.0,16.20453125785462,Pet Sematary Stephen King
Pet Sematary,Stephen King,7.5,8.0,16.479184330021646,Pet Sematary Stephen King
Pet Sematary,Stephen King,8.357142857142858,14.0,22.631562394925613,Pet Sematary Stephen King
Silent Snow,Steve Thayer,7.6923076923076925,13.0,20.30044099704045,Silent Snow Steve Thayer
Girl with a Pearl Earring,Tracy Chevalier,7.982014388489208,278.0,44.94841346712809,Girl with a Pearl Earring Tracy Chevalier
Summer of Storms,Judith Kelman,6.571428571428571,14.0,17.79575846438595,Summer of Storms Judith Kelman
The Patient,Michael Palmer,7.611111111111111,18.0,22.41045223032235,The Patient Michael Palmer
The Patient,Michael Palmer,8.0,7.0,16.635532333438686,The Patient Michael Palmer
Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,7.7317073170731705,41.0,28.898567536483604,Postmortem (Kay Scarpetta Mysteries (Paperback)) Patricia Cornwell
Deception Point,Dan Brown,7.602150537634409,93.0,34.53881087166551,Deception Point Dan Brown
Deception Point,Dan Brown,9.0,5.0,16.125835223052494,Deception Point Dan Brown
Tis : A Memoir,Frank McCourt,7.142857142857143,77.0,31.119348762068515,Tis : A Memoir Frank McCourt
A Monk Swimming,Malachy McCourt,6.230769230769231,13.0,16.443357207602766,A Monk Swimming Malachy McCourt
The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,8.304347826086957,23.0,26.39166441723729,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency) ALEXANDER MCCALL SMITH
Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,7.71578947368421,95.0,35.21754972995709,Chicken Soup for the Soul (Chicken Soup for the Soul) Jack Canfield
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,7.871794871794871,156.0,39.80172980107514,Wicked: The Life and Times of the Wicked Witch of the West Gregory Maguire
Life of Pi,Yann Martel,8.138297872340425,94.0,37.06080661781291,Life of Pi Yann Martel
Life of Pi,Yann Martel,8.030973451327434,226.0,43.567629565171444,Life of Pi Yann Martel
Life of Pi,Yann Martel,8.0,12.0,20.519594859692294,Life of Pi Yann Martel
A Judgement in Stone,Ruth Rendell,8.666666666666666,6.0,16.864554625146045,A Judgement in Stone Ruth Rendell
Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,8.615384615384615,65.0,36.095487008227664,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right Al Franken
Secret History,DONNA TARTT,7.462686567164179,67.0,31.488863471463485,Secret History DONNA TARTT
Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,7.787878787878788,66.0,32.7456364601054,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)) Jack Canfield
The Weight of Water,Anita Shreve,7.695652173913044,46.0,29.629396760986104,The Weight of Water Anita Shreve
Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,7.5,10.0,17.98421454598778,Moving Pictures (Discworld Novels (Paperback)) Terry Pratchett
Night Watch,Terry Pratchett,7.571428571428571,7.0,15.744343101290184,Night Watch Terry Pratchett
Night Watch,Terry Pratchett,8.7,10.0,20.861688873345823,Night Watch Terry Pratchett
Thief of Time,Terry Pratchett,8.4,15.0,23.289745266814162,Thief of Time Terry Pratchett
Peter Pan: The Original Story (Peter Pan),J. M. Barrie,8.2,5.0,14.69242764767005,Peter Pan: The Original Story (Peter Pan) J. M. Barrie
"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,7.6923076923076925,13.0,20.30044099704045,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson Louise Rennison"
Mansfield Park (Penguin Popular Classics),Jane Austen,8.545454545454545,11.0,21.234656825461094,Mansfield Park (Penguin Popular Classics) Jane Austen
The Wind in the Willows,Kenneth Grahame,8.857142857142858,7.0,18.41791079773569,The Wind in the Willows Kenneth Grahame
The Winter King: A Novel of Arthur (The Warlord Chronicles: I),Bernard Cornwell,8.4,5.0,15.050779541515663,The Winter King: A Novel of Arthur (The Warlord Chronicles: I) Bernard Cornwell
Moonheart (Newford),Charles de Lint,8.0,13.0,21.112458636922067,Moonheart (Newford) Charles de Lint
The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,8.375,8.0,18.40175583519084,The Picture of Dorian Gray (Modern Library (Paperback)) OSCAR WILDE
